"","r","Freq"
"519","Aerostar [Aerostar Aircraft Corporation] PA-60-600",1
"520","Aerostar [Aerostar Aircraft Corporation] PA-60-601",1
"521","Aerostar [Aerostar Aircraft Corporation] PA-60-601P",1
"522","Aerostar [Aerostar Aircraft Corporation] PA-60-602P",1
"523","Aerostar [Aerostar Aircraft Corporation] PA-60-700P",1
"524","Aerostar Aircraft 600",2
"525","Aerostar Aircraft 601",2
"526","Aerostar Aircraft 601P",1
"527","Aerostar Aircraft Corp. PA-60-600 (AEROSTAR 600",2
"528","Aerostar Aircraft PA-60-600",9
"529","Aerostar Aircraft PA-60-600 (Aerostar 600",1
"530","Aerostar Aircraft PA-60-601",5
"531","Aerostar Aircraft PA-60-601 (Aerostar 601",1
"532","Aerostar Aircraft PA-60-601P",4
"533","Aerostar Aircraft PA-60-602P",3
"534","Aerostar Aircraft PA-60-700P",2
"535","Aerostar Aircraft PA-601",6
"536","Aerostar Aircraft PA-601P",9
"537","Aerostar Aircraft PA-602P",11
"538","Aerostar Aircraft PA-700F",1
"539","Aerostar Aircraft PA-700P",7
"540","Aerostar International Inc. S55A",1
"541","Aerostar International Inc. S57A",1
"542","Aerostar International Inc. S60A",1
"543","Aerostar Intl, Inc. Aerostar",2
"544","Aerostar Intl, Inc. All series with RB12 gondola installed",1
"545","Aerostar Intl, Inc. All series with RB5 gondola installed",1
"546","Aerostar Intl, Inc. ELS",1
"547","Aerostar Intl, Inc. RB8",1
"548","Aerostar PA-60-600 (Aerostar 600",1
"549","AG-5B",1
"550","Agusta 11614",1
"551","Agusta A109",3
"552","Agusta A109 Series",1
"553","Agusta A109A",2
"554","Agusta A109A II",2
"555","Agusta A109C",2
"556","Agusta A109E",2
"557","Agusta A109E S",1
"558","Agusta A109E S/Ns 11611",1
"559","Agusta A109K2",3
"560","Agusta A109N",1
"561","Agusta A109S",1
"562","Agusta A119",3
"563","Agusta AB139",5
"564","Agusta AB139 AW139 Series",1
"565","Agusta AB412",1
"566","Agusta AB412EP",1
"567","Agusta AW109 All Series",1
"568","Agusta AW139",5
"569","Agusta EH-101 Series Model Helicopters",1
"570","Agusta H7EU A109",1
"571","Agusta H7EU A109A",1
"572","Agusta H7EU A109A II",1
"573","Agusta H7EU A109C",1
"574","Agusta H7EU A109E",1
"575","Agusta H7EU A109K2",1
"576","Agusta H7EU A119",1
"577","Agusta H7U, Revision 18 A119",1
"578","Agusta N 11509",1
"579","Agusta S.p.A A109S",1
"580","Agusta S.p.A AB139",1
"581","Agusta S.p.A AW109SP",2
"582","Agusta S.p.A AW139",1
"583","Agusta S.p.A. A109A",1
"584","Agusta S.p.A. A109A II",1
"585","Agusta S.p.A. A109E",2
"586","Agusta S.p.A. A109K2",2
"587","AGUSTA S.p.A. A109S",1
"588","Agusta S.p.A. A119",2
"589","Agusta S.p.A. AB139",3
"590","Agusta S.p.A. AW109SP",1
"591","AGUSTA S.p.A. AW109SP",1
"592","AGUSTA S.p.A. AW119",1
"593","Agusta S.p.A. AW119 MK II",1
"594","Agusta S.p.A. AW119 MKII",1
"595","Agusta S.p.A. AW139",4
"596","Agusta S.p.A.. AW139",1
"597","Agusta SpA A109",1
"598","Agusta SpA AW109 All Series",1
"599","Agusta Westland AB139",1
"600","Agusta Westland AW139",1
"601","Agusta Westland S.p.A A109S",1
"602","Agusta Westland S.p.A AW109SP",1
"603","AgustaWestland AB139",1
"604","AgustaWestland AW139",1
"605","AgustaWestland S.p.A. AB139",1
"606","AgustaWestland S.p.A. AW139",1
"607","Aibus A330-343",1
"608","Air Repair Inc. A2",1
